[2026-05-28T18:00:37.303Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 200 (42ms, 15615B)
[2026-05-28T18:00:37.304Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0zn1kyo._.js → 200 (40ms, 289B)
[2026-05-28T18:03:07.983Z] GET http://localhost:3001/ → 200 (66ms, 57454B)
[2026-05-28T18:03:08.060Z] GET http://localhost:3001/_next/static/media/5f402bd2d8eef81a-s.p.16whm0euli40m.woff2 → 200 (1ms, ?B)
[2026-05-28T18:03:08.062Z] GET http://localhost:3001/_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2 → 200 (?ms, ?B)
[2026-05-28T18:03:08.062Z] GET http://localhost:3001/_next/static/media/9433d1a810498265-s.p.0h26ys03~gfbk.woff2 → 200 (?ms, ?B)
[2026-05-28T18:03:08.063Z] GET http://localhost:3001/_next/static/chunks/%5Broot-of-the-server%5D__0n6f47b._.css → 200 (3ms, 34106B)
[2026-05-28T18:03:08.064Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0dwspdr._.js → 200 (3ms, 675B)
[2026-05-28T18:03:08.064Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_next-devtools_index_134~oje.js → 200 (18ms, 746622B)
[2026-05-28T18:03:08.064Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_react-dom_114i-p.._.js → 200 (16ms, 1058623B)
[2026-05-28T18:03:08.064Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_react-server-dom-turbopack_0ye.m2k._.js → 200 (16ms, 174970B)
[2026-05-28T18:03:08.064Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_11ejuvp._.js → 200 (16ms, 145639B)
[2026-05-28T18:03:08.064Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_client_0zrnxa5._.js → 200 (18ms, 760851B)
[2026-05-28T18:03:08.065Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_06hu.6j._.js → 200 (16ms, 253870B)
